X,Y,Z
-0.355932,-0.830508,0.000000
-0.322034,-0.830508,0.000000
-0.288136,-0.830508,0.000000
-0.254237,-0.830508,0.000000
-0.220339,-0.830508,0.000000
-0.186441,-0.830508,0.000000
-0.152542,-0.830508,0.000000
-0.118644,-0.830508,0.000000
-0.084746,-0.830508,0.000000
-0.050847,-0.830508,0.000000
-0.016949,-0.830508,0.000000
0.016949,-0.830508,0.000000
0.050847,-0.830508,0.000000
0.084746,-0.830508,0.000000
0.118644,-0.830508,0.000000
0.152542,-0.830508,0.000000
0.186441,-0.830508,0.000000
0.220339,-0.830508,0.000000
0.254237,-0.830508,0.000000
0.288136,-0.830508,0.000000
0.322034,-0.830508,0.000000
0.355932,-0.830508,0.000000
0.389830,-0.830508,0.000000
0.423729,-0.830508,0.000000
0.457627,-0.830508,0.000000
0.491525,-0.830508,0.000000
0.525424,-0.830508,0.000000
0.559322,-0.830508,0.000000
0.593220,-0.830508,0.000000
0.627119,-0.830508,0.000000
0.661017,-0.830508,0.000000
0.694915,-0.830508,0.000000
0.728814,-0.830508,0.000000
0.762712,-0.830508,0.000000
0.796610,-0.830508,0.000000
0.830508,-0.830508,0.000000
0.864407,-0.830508,0.000000
0.898305,-0.830508,0.000000
0.932203,-0.830508,0.000000
0.966102,-0.830508,0.000000
1.000000,-0.830508,0.000000
-1.000000,-0.796610,0.000000
-0.966102,-0.796610,0.000000
-0.932203,-0.796610,0.000000
-0.898305,-0.796610,0.000000
-0.864407,-0.796610,0.000000
-0.830508,-0.796610,0.000000
-0.796610,-0.796610,0.000000
-0.762712,-0.796610,0.000000
-0.728814,-0.796610,0.000000
-0.694915,-0.796610,0.000000
-0.661017,-0.796610,0.000000
-0.627119,-0.796610,0.000000
-0.593220,-0.796610,0.000000
-0.559322,-0.796610,0.000000
-0.525424,-0.796610,0.000000
-0.491525,-0.796610,0.000000
-0.457627,-0.796610,0.000000
-0.423729,-0.796610,0.000000
-0.389831,-0.796610,0.000000
-0.355932,-0.796610,0.000000
-0.322034,-0.796610,0.000000
-0.288136,-0.796610,0.000000
-0.254237,-0.796610,0.000000
-0.220339,-0.796610,0.000000
-0.186441,-0.796610,0.000000
-0.152542,-0.796610,0.000000
-0.118644,-0.796610,0.000000
-0.084746,-0.796610,0.000000
-0.050847,-0.796610,0.000000
-0.016949,-0.796610,0.000000
0.016949,-0.796610,0.000000
0.050847,-0.796610,0.000000
0.084746,-0.796610,0.000000
0.118644,-0.796610,0.000000
0.152542,-0.796610,0.000000
0.186441,-0.796610,0.000000
0.220339,-0.796610,0.000000
0.254237,-0.796610,0.000000
0.288136,-0.796610,0.000000
0.322034,-0.796610,0.000000
0.355932,-0.796610,0.000000
0.389830,-0.796610,0.000000
0.423729,-0.796610,0.000000
0.457627,-0.796610,0.000000
0.491525,-0.796610,0.000000
0.525424,-0.796610,0.000000
0.559322,-0.796610,0.000000
0.593220,-0.796610,0.000000
0.627119,-0.796610,0.000000
0.661017,-0.796610,0.000000
0.694915,-0.796610,0.000000
0.728814,-0.796610,0.000000
0.762712,-0.796610,0.000000
0.796610,-0.796610,0.000000
0.830508,-0.796610,0.000000
0.864407,-0.796610,0.000000
0.898305,-0.796610,0.000000
0.932203,-0.796610,0.000000
0.966102,-0.796610,0.000000
1.000000,-0.796610,0.000000
-1.000000,-0.762712,0.000000
-0.966102,-0.762712,0.000000
