VX,VY
-11.198993,6.326846
-10.474116,6.838391
-9.481958,6.605555
-8.801765,5.816912
-8.351206,4.844064
-8.798933,3.992076
-8.958942,2.722602
-8.688361,1.349858
-8.754496,0.112225
-9.332627,-0.818241
-9.819098,-1.640728
-9.710484,-2.487972
-10.448372,-2.492956
-10.614717,-1.188665
-10.110801,1.724059
-8.815267,5.449754
-7.402078,6.607191
-6.645882,6.221907
-6.524714,4.724015
-6.243480,3.766074
-6.680481,3.744465
-6.753071,3.897459
-6.562496,4.542755
-6.668316,5.174643
-6.561939,5.890276
-5.993223,6.415123
-5.752884,5.866209
-5.452576,5.961143
-4.561689,5.930703
-3.944283,5.743906
-3.520536,5.680264
-2.885516,5.420112
-2.313313,4.880504
-1.926384,4.284276
-1.438912,3.509333
-1.372235,2.687510
-1.076156,1.678498
-1.484777,0.796254
-1.748012,-0.167373
-1.843145,-0.754503
-2.526343,-0.876011
-2.799187,-1.261086
-3.654583,-2.664194
-3.300886,-6.098967
-1.750376,-10.552855
-1.342271,-13.476110
-2.038837,-14.447260
-3.295677,-13.916425
-6.775793,-0.711161
-7.449616,-1.519910
-8.360652,-2.049106
-8.376063,-2.611609
-8.063001,-0.856260
-7.796605,4.648537
-7.254907,8.630923
-8.399508,7.900126
-10.604128,6.614163
-11.303233,5.797561
-11.221705,5.259068
-11.087620,5.396954
-10.742144,5.779717
-10.175507,6.080978
-8.986452,5.703807
-8.485311,5.295324
-8.353455,4.791997
-8.461825,4.140047
-7.999015,2.804046
-7.526213,1.565399
-7.495624,0.500650
-7.962852,-0.237894
-8.657654,-0.626310
-8.406258,-1.701998
-9.086089,-1.878111
-9.933301,-1.216036
-10.185740,0.435926
-9.576237,2.984200
-8.289486,5.090567
-6.846294,5.934793
-6.382470,4.911090
-5.755072,3.706543
-4.930599,3.406470
-4.203066,3.726877
-3.306542,4.325427
-2.531772,5.104402
-1.992768,6.408485
-1.604567,7.347038
-1.477143,7.101517
-1.807803,7.736908
-1.712549,7.755921
-1.761304,6.870847
-1.468657,6.231978
-1.037804,5.681986
-0.937104,5.147927
-0.816723,4.472188
-0.867939,3.706002
-1.214396,2.882138
-0.969427,1.777223
-1.564599,1.017744
-1.963335,0.215935
-1.996013,-0.274719
-2.537985,-0.471230
-3.015675,-0.944897
-3.682152,-2.661638
-3.482917,-6.177650
-2.024374,-10.756667
-1.760062,-13.524775
-2.710005,-14.386247
-4.562891,-13.593288
-6.090071,0.118864
-6.666483,-0.787564
-7.653684,-1.420123
-8.077573,-2.228887
-7.794374,-1.733344
-7.553539,2.815625
-6.523030,8.796294
-6.527413,9.745189
-8.671878,8.425188
-10.002208,6.913918
-9.898619,5.560461
-9.952374,5.296027
-9.889639,5.258396
-9.657316,5.483693
-8.894066,5.311908
-8.492364,5.199255
-7.990132,4.699066
-7.210445,3.725286
-6.901241,2.846104
-6.781013,1.956066
-6.759088,1.011680
-6.791790,0.136506
-7.478046,-0.042265
-7.943019,-0.352999
-8.180690,-0.762399
-9.100668,-0.476566
-9.526011,0.041582
-9.541269,1.135814
-9.391518,3.123947
-8.450439,4.267251
-8.131930,2.982924
-7.421167,2.663438
-5.643181,3.272378
-4.439282,3.601893
-3.065193,3.946767
-1.510366,4.436896
0.123515,5.531114
1.613386,6.559791
2.741249,7.369078
3.427591,8.586839
3.434142,9.366069
2.770564,8.606548
2.381551,7.986169
2.140935,7.533911
1.854373,6.802712
1.291309,6.049003
0.347145,5.509736
0.098874,4.252835
0.014854,2.946810
-1.244573,2.376877
-1.673382,1.307768
-1.765474,0.532914
-2.614627,0.185386
-3.133244,-0.660995
-3.492746,-2.650140
-3.222931,-6.315244
-2.155729,-10.722751
-2.311213,-13.286245
-3.347420,-14.206217
-5.219463,-13.678155
-5.475361,1.144627
-6.155727,0.129472
-7.157259,-0.722087
-7.744493,-1.771631
-7.675867,-2.085754
-7.645370,1.153140
-6.730774,7.496886
-5.776312,10.603374
-6.714490,10.067980
-8.919107,8.762997
-9.196364,6.613383
-9.142780,5.521256
-9.269176,5.091280
-8.961882,4.946445
-8.357833,4.824422
-7.618905,4.561503
-6.706362,3.971030
-6.040302,3.382064
-6.145570,3.168605
-5.966385,2.475739
-6.065576,1.645166
-6.007671,0.512310
-6.127059,-0.021755
-7.351494,0.609992
-8.020144,0.583746
-8.132446,-0.583160
-8.552868,-0.404010
-9.525545,1.000898
-9.514819,1.754442
-8.685969,1.861386
-8.189354,1.149024
-7.304876,0.991310
-5.803949,1.795365
-4.951813,2.415289
-3.997508,2.719971
-2.202296,3.444384
0.371138,4.808759
2.464513,5.511051
4.122053,6.340119
5.647238,7.451866
6.952659,8.543789
7.562195,9.241988
7.708029,9.784191
7.171078,9.623200
6.204136,8.755905
4.716122,8.568320
2.941025,8.132688
2.334830,6.467482
1.355337,5.469835
-0.007695,4.420693
-0.791224,3.067572
-1.568780,2.237685
-2.183508,1.255107
-2.715904,-0.110525
-3.159878,-2.389028
-2.918410,-6.173007
-2.262336,-10.406252
-2.923199,-12.826602
-4.086603,-13.845029
-6.036696,-13.242258
-4.843193,2.728649
-5.378504,1.258857
-6.563006,0.217550
-7.190898,-1.291572
-7.322172,-2.242217
-7.497311,-0.287634
-7.009434,5.192490
-5.593623,10.353559
-5.406531,11.187963
-7.430646,9.916225
-8.162156,7.375595
-8.400706,5.954721
-8.694346,5.152555
-8.170628,4.370335
-7.522613,3.920083
-6.770037,3.684947
-6.066220,3.541149
-5.754695,3.512558
-5.467658,3.154851
-4.935140,2.238419
-5.420176,1.788084
-5.964823,1.298530
-5.976191,0.699141
-7.032629,1.061024
-7.968277,1.258184
-8.047071,0.019104
-8.385084,0.135332
-9.052376,1.347715
-8.749271,1.412688
-7.791128,1.122008
-6.842656,1.033180
-5.459469,0.523593
-4.192176,0.213469
-3.148390,-0.018391
-1.978657,-0.165845
-0.591741,0.674407
1.173681,2.516133
2.727522,3.657483
4.014550,4.732352
5.541404,5.967376
7.517630,7.234851
8.768517,8.279328
9.689494,9.318916
10.415282,10.105396
10.231833,10.439217
9.224607,10.950848
7.472116,10.355210
6.034137,9.261856
4.110344,8.783214
2.132611,6.933467
0.539929,5.453331
-0.622452,4.020927
-1.326008,2.342707
-2.367258,0.852074
-2.927460,-1.783630
-2.736859,-5.740257
-2.413384,-9.923215
-3.518780,-12.311216
-4.700617,-13.318559
-6.613021,-12.603661
-3.618792,3.767585
-4.490635,2.520860
-6.268994,1.622597
-7.045567,-0.302354
-7.311319,-1.784580
-7.398969,-0.916878
-7.097213,3.277187
-6.054801,9.269634
-5.364238,11.857966
-6.508204,11.072148
-7.849648,8.932792
-8.406096,7.156446
-8.206196,5.171010
-7.764983,3.827113
-7.442552,3.264671
-6.620886,2.918701
-5.809111,2.946082
-5.335712,3.165551
-4.859975,2.957639
-4.929926,2.771896
-5.639791,2.593716
-6.207622,2.192601
-6.800207,1.921679
-7.696702,2.043566
-8.174269,1.870903
-8.429265,1.237516
-8.498477,1.168643
-8.259344,1.409384
-7.655600,1.240230
-6.305783,0.717674
-4.769284,0.110639
-3.052283,-0.618691
-1.601065,-1.446824
0.354010,-2.022072
2.192193,-1.583979
3.656438,-1.017177
5.055916,0.130918
6.284924,1.491469
6.921934,2.621335
7.831174,3.957983
8.988816,5.573641
9.126911,6.194082
9.597256,7.359967
10.997812,9.503863
11.892621,10.741858
11.908710,11.676910
11.135379,11.953903
9.883202,11.647951
8.120400,11.323785
5.546587,10.416340
2.875598,9.089335
0.741553,6.763736
-0.588392,4.507928
-1.783536,2.211243
-2.408392,-0.980997
-2.475329,-5.102886
-2.472468,-9.293908
-3.879646,-11.727037
-5.116478,-12.661836
-7.026882,-11.814067
-3.106207,5.194512
-4.217252,4.275618
-5.979714,3.194541
-6.547221,0.626853
-7.282052,-1.220648
-7.803128,-1.048179
-7.771246,2.032417
-7.039463,7.832574
-5.518044,11.679357
-5.459214,11.928018
-7.252342,10.311804
-8.090133,7.875274
-8.094129,5.391885
-8.144408,3.813515
-7.574085,2.653795
-6.594304,2.088061
-5.933168,2.444918
-5.462601,3.117749
-5.419163,3.605004
-6.046417,3.994164
-6.585394,3.514128
-7.086359,2.849766
-7.938483,3.001377
-8.362001,3.132502
-8.655750,2.884283
-8.904688,2.328346
-8.494624,1.781867
-7.603291,1.225109
-6.449295,0.149302
-4.496695,-0.875235
-2.561918,-1.825562
-0.367063,-2.523499
1.748369,-3.273581
3.922176,-3.597215
6.093188,-2.989194
7.778970,-3.074881
9.303533,-1.976342
10.704085,0.416528
11.386207,0.878734
12.275592,1.890708
13.062972,3.889262
13.342818,4.916606
13.607984,6.118441
13.886346,8.457468
13.957798,10.327534
13.653202,11.750667
13.210489,12.732259
12.177010,13.115649
10.713770,12.989678
8.693843,12.505310
6.441736,11.616277
3.756705,10.306530
1.256415,7.848233
-0.646072,4.407284
-1.839504,0.580971
