VX,VY
2.64001,-7.456213
-1.399985,3.353786
-3.389985,1.903787
-6.939985,-2.206213
-10.09999,-4.876213
-12.92999,-1.046213
-13.79998,2.983787
-14.93999,2.423787
-14.23999,0.1837866
-11.39999,-1.876213
-10.36999,-2.466213
-8.939985,-2.626213
-7.939985,-1.936213
-6.389985,-2.156213
-5.349985,-1.686213
-4.679985,0.3737866
-11.70998,0.3037866
-9.629985,-2.016213
-8.169985,-2.056213
-9.229985,-1.546213
-9.599985,-2.666213
-9.019985,-2.256213
-8.719985,-2.176213
-10.62998,-2.246213
-12.12998,-1.836213
-10.80999,-1.966213
-11.42999,-0.2662134
-11.86998,-0.6762134
-11.89999,-1.376213
-13.27999,-1.126213
-13.78998,-1.406213
-15.10999,-1.896213
-15.10999,-2.576213
-14.78998,-3.176213
-13.96999,-3.826213
-11.97999,-4.606213
-8.759985,-4.416214
-6.349985,-3.436213
-4.259985,-2.576213
-3.089985,-1.816213
-2.969985,-0.3362134
-4.579985,1.323787
-5.899985,0.7837866
-7.929985,-2.656213
-10.11999,-5.006213
-8.879985,-1.176213
-8.829986,2.823786
-10.15999,3.723787
-12.23999,3.383786
-11.45998,1.333787
-9.919985,-0.3462134
-9.749985,-1.096213
-8.669985,-1.826213
-6.599985,-1.996213
-5.139985,-2.756213
-4.179985,-2.326213
-4.059985,-1.016213
-12.35999,-0.2562134
-11.97999,-1.686213
-10.83998,-2.036213
-10.50998,-2.166213
-10.77999,-2.816213
-10.14999,-2.356213
-9.319985,-2.676213
-11.49998,-2.376213
-12.38999,-1.416213
-11.27999,-0.9262134
-11.93999,0.4537866
-11.56999,-0.3062134
-11.29998,-0.6762134
-11.27999,-0.7162133
-11.12998,-1.496213
-13.19999,-1.606213
-14.08998,-1.976213
-14.40998,-2.746213
-12.83998,-3.716213
-10.11999,-3.696213
-8.169985,-2.856213
-8.019985,-1.336213
-7.989985,0.2237866
-7.779985,-0.3762134
-6.609985,-1.456213
-5.579985,-3.306213
-5.649985,-4.536213
-6.879985,-4.726213
-5.429985,-2.326213
-3.519985,2.083786
-5.099985,2.173787
-5.929985,1.403787
-7.099985,3.413787
-8.649985,2.953787
-9.669985,1.523787
-9.529985,-0.0862
-9.149985,-2.106213
-8.159986,-3.786213
-7.739985,-3.766213
-7.249985,-2.966213
-7.129985,-4.496213
-11.96999,-1.356213
-12.58998,-1.816213
-13.57998,-1.846213
-13.46999,-2.486213
-12.10999,-3.516213
-10.83998,-3.586213
-10.30999,-3.446213
-11.01999,-3.786213
-10.61999,-3.376213
-9.779985,-1.996213
-10.01999,-2.026213
-10.45998,-2.246213
-11.01999,-1.136213
-10.64999,-0.5962133
-10.19999,0.0438
-11.54998,-0.6262134
-12.45998,-1.936213
-11.80999,-2.426213
-10.31999,-2.866213
-9.119986,-2.976213
-8.709985,-3.166213
-8.809985,-2.606213
-8.819985,-1.146213
-10.00998,-1.156213
-10.59999,-2.266213
-8.789985,-4.276213
-6.599985,-2.846213
-5.129985,1.023787
-3.209985,2.313787
-4.419985,1.023787
-6.289985,-0.4162134
-6.029985,0.2237866
-7.569985,3.333786
-8.739985,3.113786
-8.409986,1.263787
-7.959985,-0.8962134
-8.709985,-3.436213
-9.479985,-3.816213
-9.619986,-3.376213
-9.659986,-3.196213
-7.389985,-4.376213
-10.80999,-2.306213
-11.79998,-1.356213
-12.98999,-0.9062133
-12.46999,-1.636213
-11.23999,-2.646213
-10.72999,-3.996213
-10.52999,-4.006213
-9.789985,-3.956213
-8.289985,-3.896213
-7.449985,-2.966213
-7.969985,-3.306213
-9.059985,-3.046213
-9.629985,-0.9762133
-7.919985,-0.2362134
-7.419985,-1.086213
-9.769985,-1.736213
-10.51999,-1.246213
-9.599985,-1.196213
-9.739985,-2.226213
-8.299985,-2.486213
-6.799985,-2.216213
-7.049985,-2.636213
-6.889985,-3.516213
-6.479985,-4.266213
-6.469985,-3.006213
-5.239985,-0.0362
-4.449985,4.393786
-5.359985,6.683786
-5.329985,4.123786
-4.379985,0.4437866
-3.929985,-1.966213
-4.049985,-1.986213
-4.829985,1.083787
-6.329985,2.283787
-7.109985,1.063787
-6.879985,-1.496213
-7.039985,-3.986213
-9.369986,-3.166213
-11.10999,-3.466213
-10.77999,-3.846213
-8.939985,-2.676213
-9.409986,-2.276213
-8.629985,-3.006213
-8.209985,-2.766213
-7.929985,-2.206213
-8.409986,-2.586213
-8.469985,-3.366213
-8.429985,-3.176213
-9.209985,-2.926213
-9.149985,-3.156213
-8.069985,-3.516213
-8.179985,-3.296213
-8.299985,-2.996213
-8.359985,-1.596213
-7.129985,-0.7062134
-7.279985,-2.446213
-8.089985,-3.146213
-9.319985,-2.826213
-11.20998,-2.336213
-10.91998,-2.246213
-8.769985,-1.396213
-7.809985,-1.486213
-7.379985,-3.286213
-5.759985,-4.286213
-3.649985,-2.556213
-2.609985,0.2537866
-2.419985,1.993787
-3.029985,3.613786
-4.699985,5.023787
-6.009985,3.903786
-4.739985,1.133787
-3.309985,-2.536213
-3.699985,-2.286213
-4.529985,0.9837866
-7.659985,2.373786
-9.729985,0.1337866
-8.149985,-2.356213
-7.029985,-2.806213
-10.10999,-3.026213
-12.70998,-4.026213
-11.11998,-4.756213
-10.34999,-4.516213
-9.769985,-0.7762133
-7.489985,-2.536213
-6.789985,-3.426213
-7.129985,-3.386213
-7.409985,-3.316213
-7.229985,-3.406213
-8.259985,-3.576213
-9.749985,-3.176213
-9.379985,-2.946213
-8.039985,-3.606213
-8.819985,-3.716213
-8.879985,-3.336213
-8.609985,-3.136213
-7.399985,-2.876213
-6.689985,-3.896213
-6.369985,-4.616213
-8.289985,-4.446213
-11.29998,-3.306213
-11.15999,-3.006213
-9.539985,-1.926213
-7.249985,-2.006213
-5.269985,-2.036213
-3.889985,-1.186213
-3.179985,1.023787
-2.659985,2.013787
-2.739985,2.303787
-3.349985,2.743787
-4.749985,3.273787
-6.979985,2.023787
-8.199986,0.0638
-8.389985,-1.286213
-8.129985,-1.306213
-6.669985,-3.046213
-7.449985,-2.006213
-8.889985,-1.656213
-8.169985,-4.716213
-7.669985,-5.876213
-10.35999,-6.236213
-10.08998,-5.846213
-6.519985,-5.936213
-5.869985,-4.796213
-11.41998,0.3637866
-9.489985,0.6037866
-9.099985,-0.1662134
-9.159986,-1.016213
-8.869986,-1.756213
-8.309985,-2.796213
-8.509985,-2.676213
-9.189985,-2.046213
-9.439985,-2.856213
-9.129985,-3.576213
-9.749985,-4.156213
-8.849985,-3.846213
-7.599985,-4.046213
-6.829985,-4.366213
-6.559985,-5.106213
-7.119985,-4.876213
-6.609985,-1.946213
-6.369985,0.9937866
-6.319985,0.4337866
-5.729985,0.1037866
-4.709985,0.5437866
-4.159985,1.743787
-4.099985,1.833787
-3.349985,2.513787
-2.639985,2.443787
-2.979985,2.573786
-3.619985,2.293787
-5.469985,2.433787
-7.879985,1.823787
-8.379985,-0.6962134
-7.499985,-2.486213
-8.119986,-1.856213
-9.389985,-3.086213
-8.349985,-2.966213
-7.029985,-2.626213
-6.949985,-5.186213
-6.539985,-6.106213
-7.519985,-6.096213
-6.889985,-4.776213
-4.969985,-3.406213
-4.809985,-2.216213
-10.56999,1.583787
-9.499985,1.633787
-9.389985,0.9437866
-9.929985,0.6137866
-8.899985,-0.2362134
-7.519985,-1.556213
-7.639985,-1.886213
-8.369986,-2.036213
-8.869986,-2.646213
-8.879985,-2.626213
-8.509985,-3.066213
-8.619986,-4.036213
-8.519985,-4.346213
-8.219985,-4.406213
-7.939985,-5.396213
-6.219985,-3.806213
-3.089985,0.3237866
-3.629985,3.003787
-3.949985,2.053787
-2.859985,1.023787
-4.129985,1.923787
-3.869985,2.733787
-3.779985,2.153787
-3.729985,2.523787
-4.149985,2.723787
-4.559985,3.353786
-4.939985,2.813787
-6.859985,2.033787
-9.969985,2.183787
-11.29998,0.1337866
-10.45998,-3.726213
-10.78998,-5.036213
-10.44999,-4.396213
-8.949986,-2.386213
-7.569985,-2.606213
-5.759985,-2.716213
-3.909985,-2.986213
-3.359985,-3.326213
-4.279985,-3.036213
-3.709985,-2.806213
-3.719985,-2.686213
-10.57998,2.833786
-10.78998,1.413787
-10.75998,1.133787
-9.999985,0.7437866
-7.579985,0.2937866
-5.959985,-0.7262133
-6.369985,-1.316213
-6.789985,-1.466213
-6.359985,-0.7362134
-6.129985,-0.5262133
-5.289985,-1.216213
-5.609985,-3.096213
-6.249985,-1.836213
-5.559985,-0.3962134
-4.889985,-1.316213
-3.809985,0.0138
-3.979985,1.643787
-5.529985,2.183787
-4.979985,1.973787
-4.159985,2.353786
-6.039985,4.083786
-5.809985,4.263786
-5.389985,3.513787
-5.329985,3.853786
-6.519985,4.093787
-7.109985,4.343787
-7.289985,3.503787
-7.209985,1.523787
-8.009985,0.6637866
-10.48999,1.093787
-11.91998,-0.0262
-11.08998,-1.796213
-8.819985,-2.026213
-8.399985,-1.076213
-8.939985,-1.166213
-7.609985,-0.5462134
-6.349985,-2.086213
