X,Y
-54,-22.5
-55.5,-22.5
-57,-22.5
-58.5,-22.5
-60,-22.5
-61.5,-22.5
-63,-22.5
-64.5,-22.5
-66,-22.5
-67.5,-22.5
-69,-22.5
-70.5,-22.5
0,-24
-1.5,-24
-3,-24
-4.5,-24
-6,-24
-7.5,-24
-9,-24
-10.5,-24
-12,-24
-13.5,-24
-15,-24
-16.5,-24
-18,-24
-19.5,-24
-21,-24
-22.5,-24
-24,-24
-25.5,-24
-27,-24
-28.5,-24
-30,-24
-31.5,-24
-33,-24
-34.5,-24
-36,-24
-37.5,-24
-39,-24
-40.5,-24
-42,-24
-43.5,-24
-45,-24
-46.5,-24
-48,-24
-49.5,-24
-51,-24
-52.5,-24
-54,-24
-55.5,-24
-57,-24
-58.5,-24
-60,-24
-61.5,-24
-63,-24
-64.5,-24
-66,-24
-67.5,-24
-69,-24
-70.5,-24
0,-25.5
-1.5,-25.5
-3,-25.5
-4.5,-25.5
-6,-25.5
-7.5,-25.5
-9,-25.5
-10.5,-25.5
-12,-25.5
-13.5,-25.5
-15,-25.5
-16.5,-25.5
-18,-25.5
-19.5,-25.5
-21,-25.5
-22.5,-25.5
-24,-25.5
-25.5,-25.5
-27,-25.5
-28.5,-25.5
-30,-25.5
-31.5,-25.5
-33,-25.5
-34.5,-25.5
-36,-25.5
-37.5,-25.5
-39,-25.5
-40.5,-25.5
-42,-25.5
-43.5,-25.5
-45,-25.5
-46.5,-25.5
-48,-25.5
-49.5,-25.5
-51,-25.5
-52.5,-25.5
-54,-25.5
-55.5,-25.5
-57,-25.5
-58.5,-25.5
-60,-25.5
-61.5,-25.5
-63,-25.5
-64.5,-25.5
-66,-25.5
-67.5,-25.5
-69,-25.5
-70.5,-25.5
0,-27
-1.5,-27
-3,-27
-4.5,-27
-6,-27
-7.5,-27
-9,-27
-10.5,-27
-12,-27
-13.5,-27
-15,-27
-16.5,-27
-18,-27
-19.5,-27
-21,-27
-22.5,-27
-24,-27
-25.5,-27
-27,-27
-28.5,-27
-30,-27
-31.5,-27
-33,-27
-34.5,-27
-36,-27
-37.5,-27
-39,-27
-40.5,-27
-42,-27
-43.5,-27
-45,-27
-46.5,-27
-48,-27
-49.5,-27
-51,-27
-52.5,-27
-54,-27
-55.5,-27
-57,-27
-58.5,-27
-60,-27
-61.5,-27
-63,-27
-64.5,-27
-66,-27
-67.5,-27
-69,-27
-70.5,-27
0,-28.5
-1.5,-28.5
-3,-28.5
-4.5,-28.5
-6,-28.5
-7.5,-28.5
-9,-28.5
-10.5,-28.5
-12,-28.5
-13.5,-28.5
-15,-28.5
-16.5,-28.5
-18,-28.5
-19.5,-28.5
-21,-28.5
-22.5,-28.5
-24,-28.5
-25.5,-28.5
-27,-28.5
-28.5,-28.5
-30,-28.5
-31.5,-28.5
-33,-28.5
-34.5,-28.5
-36,-28.5
-37.5,-28.5
-39,-28.5
-40.5,-28.5
-42,-28.5
-43.5,-28.5
-45,-28.5
-46.5,-28.5
-48,-28.5
-49.5,-28.5
-51,-28.5
-52.5,-28.5
-54,-28.5
-55.5,-28.5
-57,-28.5
-58.5,-28.5
-60,-28.5
-61.5,-28.5
-63,-28.5
-64.5,-28.5
-66,-28.5
-67.5,-28.5
-69,-28.5
-70.5,-28.5
0,-30
-1.5,-30
-3,-30
-4.5,-30
-6,-30
-7.5,-30
-9,-30
-10.5,-30
-12,-30
-13.5,-30
-15,-30
-16.5,-30
-18,-30
-19.5,-30
-21,-30
-22.5,-30
-24,-30
-25.5,-30
-27,-30
-28.5,-30
-30,-30
-31.5,-30
-33,-30
-34.5,-30
-36,-30
-37.5,-30
-39,-30
-40.5,-30
-42,-30
-43.5,-30
-45,-30
-46.5,-30
-48,-30
-49.5,-30
-51,-30
-52.5,-30
-54,-30
-55.5,-30
-57,-30
-58.5,-30
-60,-30
-61.5,-30
-63,-30
-64.5,-30
-66,-30
-67.5,-30
-69,-30
-70.5,-30
0,-31.5
-1.5,-31.5
-3,-31.5
-4.5,-31.5
-6,-31.5
-7.5,-31.5
-9,-31.5
-10.5,-31.5
-12,-31.5
-13.5,-31.5
-15,-31.5
-16.5,-31.5
-18,-31.5
-19.5,-31.5
-21,-31.5
-22.5,-31.5
-24,-31.5
-25.5,-31.5
-27,-31.5
-28.5,-31.5
-30,-31.5
-31.5,-31.5
-33,-31.5
-34.5,-31.5
-36,-31.5
-37.5,-31.5
-39,-31.5
-40.5,-31.5
-42,-31.5
-43.5,-31.5
-45,-31.5
-46.5,-31.5
-48,-31.5
-49.5,-31.5
-51,-31.5
-52.5,-31.5
-54,-31.5
-55.5,-31.5
-57,-31.5
-58.5,-31.5
-60,-31.5
-61.5,-31.5
-63,-31.5
-64.5,-31.5
-66,-31.5
-67.5,-31.5
-69,-31.5
-70.5,-31.5
0,-33
-1.5,-33
-3,-33
-4.5,-33
-6,-33
-7.5,-33
-9,-33
-10.5,-33
-12,-33
-13.5,-33
-15,-33
-16.5,-33
-18,-33
-19.5,-33
-21,-33
-22.5,-33
-24,-33
-25.5,-33
-27,-33
-28.5,-33
-30,-33
-31.5,-33
-33,-33
-34.5,-33
-36,-33
-37.5,-33
-39,-33
-40.5,-33
-42,-33
-43.5,-33
-45,-33
-46.5,-33
-48,-33
-49.5,-33
-51,-33
-52.5,-33
-54,-33
-55.5,-33
-57,-33
-58.5,-33
-60,-33
-61.5,-33
-63,-33
-64.5,-33
-66,-33
-67.5,-33
-69,-33
-70.5,-33
0,-34.5
-1.5,-34.5
-3,-34.5
-4.5,-34.5
-6,-34.5
-7.5,-34.5
-9,-34.5
-10.5,-34.5
-12,-34.5
-13.5,-34.5
-15,-34.5
-16.5,-34.5
-18,-34.5
-19.5,-34.5
-21,-34.5
-22.5,-34.5
-24,-34.5
-25.5,-34.5
-27,-34.5
-28.5,-34.5
-30,-34.5
-31.5,-34.5
-33,-34.5
-34.5,-34.5
-36,-34.5
-37.5,-34.5
-39,-34.5
-40.5,-34.5
-42,-34.5
-43.5,-34.5
-45,-34.5
-46.5,-34.5
-48,-34.5
-49.5,-34.5
-51,-34.5
-52.5,-34.5
-54,-34.5
-55.5,-34.5
-57,-34.5
-58.5,-34.5
-60,-34.5
-61.5,-34.5
-63,-34.5
-64.5,-34.5
-66,-34.5
-67.5,-34.5
-69,-34.5
-70.5,-34.5
0,-36
-1.5,-36
-3,-36
-4.5,-36
-6,-36
-7.5,-36
-9,-36
-10.5,-36
-12,-36
-13.5,-36
-15,-36
-16.5,-36
-18,-36
-19.5,-36
-21,-36
-22.5,-36
-24,-36
-25.5,-36
-27,-36
-28.5,-36
-30,-36
-31.5,-36
-33,-36
-34.5,-36
-36,-36
-37.5,-36
-39,-36
-40.5,-36
-42,-36
-43.5,-36
-45,-36
-46.5,-36
-48,-36
-49.5,-36
-51,-36
-52.5,-36
-54,-36
-55.5,-36
-57,-36
-58.5,-36
-60,-36
-61.5,-36
-63,-36
-64.5,-36
-66,-36
-67.5,-36
-69,-36
-70.5,-36
0,-37.5
-1.5,-37.5
-3,-37.5
-4.5,-37.5
-6,-37.5
-7.5,-37.5
-9,-37.5
-10.5,-37.5
-12,-37.5
-13.5,-37.5
-15,-37.5
-16.5,-37.5
-18,-37.5
-19.5,-37.5
-21,-37.5
-22.5,-37.5
