U,V
7.33,8.05
4.91,5.74
2.33,2.54
-1.05,0.049999997
-3.18,-1.56
-2.71,-0.19
1.47,0.31
3.4,-1.74
5.54,3.77
4.32,3.15
3.85,1.94
4.26,0.46
3.92,-0.029999999
2.85,0.9
3.43,2.16
5.05,2.84
5.25,2.87
5.05,2.77
5.66,3.3
6.04,4.35
6.14,4.93
6.05,3.91
5.67,1.92
4.26,0.56
1.99,-0.02
1.16,-1.56
1.44,-4.06
-0.059999999,-4.79
-1.75,-7.14
-0.44,-14.37
2.85,-15.91
6.99,-7.61
8.63,-3.37
8.07,-5.42
9.71,-3.83
12.13,-0.77
12.19,-0.28
10.87,0.089999996
10.35,-0.62
10.73,-3.07
11.59,-3.84
11.21,-1.36
10.91,2.35
13.11,3.8
15.68,3.6
16.84,3.89
16.82,5.51
15.58,7.59
13.37,9.25
10.46,8.91
6.34,6.33
2.66,3.62
-0.36,0.53
-0.39,0.16
1.83,0.85
2.62,0.12
5.51,4.38
5.04,3.55
5.06,2.17
5.8,0.55
5.65,-0.2
3.94,0.58
2.89,1.68
3.54,1.99
4.43,1.77
4.8,1.08
4.88,0.95
5.52,2.82
6.91,4.88
7.35,4.44
6.3,2.79
4.27,2.14
1.98,2.15
0.94,1.04
1.43,-2.13
0.41,-4.53
-2.08,-4.54
-3.14,-8.77
-2.93,-16.04
0.43,-15.15
6.04,-8.83
9.61,-6.24
11.66,-5.29
13.52,-2.19
14.05,1.05
13.23,2.1
12.64,-0.59
12.1,-4.67
11.24,-5.41
10.11,-3.23
10.18,-0.57
13,0.94
16.51,0.76
18.74,1.15
19.76,4.28
19.04,7.97
16.98,10.34
13.69,10.83
9.719999,9.69
5.82,8.61
3.81,6.29
1.2,2.38
1.8,0.049999997
1.95,-0.88
5.98,3.69
6.07,2.78
6.19,1.78
6.1,0.93
5.8,0.52
5.46,0.93
5.27,1.57
5.35,1.65
5.7,1.54
5.7,0.81
5.01,0.32
5.39,2.09
6.92,4.23
7,4.08
5.39,3.05
3.8,3.29
2.42,3.88
1.11,3.31
1.12,0.9
1.28,-3.26
-0.35,-4.87
-2.86,-3.86
-5.74,-7.49
-7.61,-14.96
-5.82,-17.63
-0.37,-14.78
5.19,-10.89
8.69,-5.63
10.01,-0.17
10.27,2.75
11.36,1.56
11.84,-2.18
10.08,-4.62
7.61,-5.5
8.19,-4.97
12.45,-3.6
16.44,-3.02
18.44,-1.04
19.64,3.79
19.37,9.73
17.25,14.05
13.18,15.13
9.27,13.92
5.99,12.34
5.01,9.75
2.34,3.96
0.34,-0.3
1.92,-1.23
7.17,2.98
7.19,2.06
7.54,1.44
7.67,1.16
7.71,0.94
7.76,1.06
7.83,1.55
7.86,1.68
7.81,1.63
7.44,1.51
6.94,1.67
7.43,2.61
8.08,3.47
7.05,3.83
5.15,4.1
3.88,4.37
3.31,4.28
2.41,3.43
1.31,2.26
0.66,0.11
-0.38,-2.29
-2.25,-2.19
-4.56,-1.58
-8.059999,-5.28
-12.35,-11.11
-15.74,-14.26
-17.12,-13.18
-15.65,-8.95
-12.61,-5.43
-8.23,-4.15
-3.16,-4
1.61,-4.33
5.14,-4.5
5.88,-5.32
5.6,-6.92
5.83,-8.24
6.61,-8.059999
7.94,-4.89
9.5,0.91
11.4,8.37
12.85,15.17
10.69,19.31
6.68,19.1
4.16,15.36
3.59,10.36
3.32,4.73
-0.02,-0.63
1.35,-1.14
8.95,2.74
8.44,1.68
8.83,1.17
9.46,0.67
9.99,0.15
10.38,0.43
10.68,1.35
10.74,1.86
10.47,1.95
9.92,2.33
9.58,2.9
9.73,3.1
9.46,3.27
8.11,4.32
6.41,5.53
5.02,5.41
4.55,4.67
4.59,3.82
3.42,2.58
0.83,1.25
-1.76,0.049999997
-3.68,-1.03
-5.12,-1.17
-6.89,-0.86
-9.929999,-1.88
-14.13,-4.09
-18.3,-5.24
-20.8,-5.09
-20.06,-5.81
-15.79,-7.24
-12.02,-8.27
-10.17,-9.32
-7.07,-9.5
-1.76,-7.46
2.31,-6.03
1.04,-6.96
-3.2,-8.07
-6.6,-7.34
-8.17,-3.89
-6.39,1.56
-1.89,7.3
1.19,15.09
1.54,20.51
0.77,17.64
0.049999997,11.16
0.57,5.02
-0.099999994,-0.12
-0.98,-1.31
10.33,2.79
9.73,1.33
10.27,0.35
11.32,-0.61
12.17,-0.66
12.99,0.92
13.62,2.41
13.57,2.72
13.06,2.74
12.2,3.43
11.1,4.24
9.99,4.57
9.29,4.97
9.19,5.3
8.889999,5.03
7.84,4.09
6.69,3.41
5.83,3.53
4.66,3.1
2.01,1.5
-1.46,0.57
-4.37,0.73
-6.6,0.71
-8.36,-0.34
-10.06,-1.82
-11.51,-2.4
-12.69,-2.13
-13.8,-2.74
-13.71,-4.58
-11.51,-5.5
-10.13,-4.77
-11.8,-5.73
-14.23,-8.92
-14.23,-10.35
-11.52,-9
-8.889999,-6.48
-8.96,-4.9
-11.42,-4.47
-14.07,-2.5
-14.69,0.099999994
-13.39,1.7
-10.43,7.63
-6.19,16.19
-3.58,18.27
-3.14,13.79
-2.23,7.6
-3.11,2.89
-4.17,0.55
10.98,2.1
10.72,0.56
11.39,-0.66
12.41,-1.23
13.23,-0.029999999
14.06,2.57
14.54,4
14.23,3.91
13.56,3.86
12.71,4.54
11.84,5.36
11.06,5.67
10.68,5.77
10.62,5.29
9.99,4.38
8.46,3.99
6.68,4.16
5.18,4.88
4.31,5.62
3.27,5.44
1.38,4.91
-1.05,4.67
-3.66,4.19
-6.07,2.32
-8.059999,-0.42
-9.57,-2.12
-10.67,-2.55
-11.53,-3.53
-11.72,-5.59
