U,V
-4.941218,0.5880274
-3.861218,0.6880273
-3.401218,1.648027
-3.131218,1.508027
-2.611218,1.458027
-2.051218,2.968027
-2.051218,3.388027
-3.041218,3.118027
-3.671218,3.998027
-2.901218,5.608027
-4.861218,2.378027
-7.521218,1.188027
-3.761218,3.988027
-2.801218,3.338027
-4.611218,3.058027
-2.631218,1.358027
-1.621218,1.358027
-2.571218,-0.3919727
-3.911218,-0.8219726
-2.981218,-1.181973
-2.851218,-2.841973
-1.921218,-4.301972
3.028782,-5.271973
5.168782,-5.461973
4.168782,-6.481973
3.638782,-7.611972
7.508781,-11.10197
10.39878,-9.881972
2.508782,-4.331973
0.7187817,-1.071973
2.518782,-0.3519726
1.108782,-1.701973
-1.771218,3.498027
-3.221218,3.338027
-4.571218,2.548027
-5.141218,2.198027
-3.231218,2.218027
-2.471218,1.718027
-2.231218,0.9780273
-2.181218,1.208027
-2.321218,1.268027
-2.441218,1.238027
-2.001218,2.188027
-2.761218,3.618027
-4.271218,4.618027
-1.861218,6.448027
-2.001218,5.618027
-5.541218,2.518027
-5.911218,0.4980273
-4.461218,-0.1019727
-4.231218,-0.4019727
-4.721218,0.5380273
-4.411218,1.198027
-3.591218,1.328027
-1.581218,2.138027
-0.8412182,3.258027
-1.461218,3.838027
-0.041218262,3.298027
-1.681218,1.448027
-5.101218,1.838027
-3.171218,3.818027
-1.481218,2.258027
-3.311218,0.2680273
-2.751218,0.4780273
-1.201218,1.998027
-0.9612182,-0.5519726
-1.021218,-0.8219726
-0.2012183,-2.101973
1.398782,-4.131973
3.688782,-5.621973
5.718781,-6.731973
5.028781,-8.361973
5.038782,-10.16197
9.148782,-11.44197
9.768782,-9.331972
4.048782,-1.821973
1.938782,0.3380273
2.628782,0.8180273
0.7287817,1.278027
-0.7212182,3.038027
0.088781737,3.428027
-0.021218261,2.368027
-1.381218,2.008027
-1.511218,1.198027
-0.2812183,1.818027
0.5887817,2.168027
0.3687817,1.608027
-0.9612182,1.338027
-1.331218,1.008027
-0.2712183,1.498027
-0.6812183,2.218027
-1.961218,0.5980273
-1.851218,1.968027
0.2087817,6.568027
1.578782,6.418027
-0.9012182,3.018027
-2.161218,-0.2019726
-1.941218,0.058027342
-2.001218,-0.1419726
