Y,X,VY,VX
-60,45,2.64001,-7.456213
-4.5,34.5,-5.279985,0.2437866
-3,34.5,-3.169985,1.273787
-1.5,34.5,-2.429985,1.933787
0,34.5,-2.419985,0.1537866
-60,33,2.290015,-14.09621
-58.5,33,6.530015,-12.47621
-57,33,10.23001,-8.306213
-55.5,33,13.06001,-4.816213
-54,33,13.60001,-1.056213
-52.5,33,14.22001,3.883786
-51,33,13.24001,7.343786
-49.5,33,9.870014,8.013786
-48,33,8.050014,7.523787
-46.5,33,6.190014,8.323787
-45,33,5.410015,7.913786
-43.5,33,3.340014,5.623786
-42,33,-1.469985,6.303786
-40.5,33,-2.909985,6.523787
-39,33,-3.239985,5.923787
-37.5,33,-6.069985,4.653787
-36,33,-9.269985,1.433787
-34.5,33,-10.67999,1.783787
-33,33,-11.39999,2.693787
-31.5,33,-11.88999,0.7937866
-30,33,-11.90999,0.8537866
-28.5,33,-12.46999,2.233787
-27,33,-12.35999,1.073787
-25.5,33,-13.55999,-1.746213
-24,33,-15.70998,-2.426213
-22.5,33,-15.91998,-1.536213
-21,33,-16.57998,-1.116213
-19.5,33,-17.42999,-1.226213
-18,33,-17.16998,-1.896213
-16.5,33,-17.09999,-2.606213
-15,33,-16.67999,-2.826213
-13.5,33,-14.83998,-1.586213
-12,33,-12.31999,-1.076213
-10.5,33,-9.919985,-2.366213
-9,33,-7.839985,-2.726213
-7.5,33,-3.639985,-0.9362134
-6,33,-1.809985,1.573787
-4.5,33,-1.669985,1.343787
-3,33,-2.219985,0.7637866
-1.5,33,-4.019985,0.0138
0,33,-6.089985,-0.5262133
-60,31.5,6.110014,-9.296213
-58.5,31.5,7.920014,-7.096213
-57,31.5,8.920014,-4.906213
-55.5,31.5,9.600015,-2.676213
-54,31.5,10.41001,0.6837866
-52.5,31.5,9.770015,3.523787
-51,31.5,7.610014,4.873786
-49.5,31.5,6.320014,5.523787
-48,31.5,5.270015,5.373786
-46.5,31.5,3.790015,6.173787
-45,31.5,2.090015,6.683786
-43.5,31.5,-1.549985,6.713787
-42,31.5,-3.479985,6.633787
-40.5,31.5,-4.609985,4.643786
-39,31.5,-7.479985,4.173787
-37.5,31.5,-8.609985,2.603786
-36,31.5,-9.129985,0.4337866
-34.5,31.5,-8.509985,0.9137866
-33,31.5,-9.149985,0.5037866
-31.5,31.5,-11.43999,0.2837866
-30,31.5,-11.61998,0.2137866
-28.5,31.5,-12.69999,-0.1762134
-27,31.5,-13.48999,-1.226213
-25.5,31.5,-13.35999,-3.436213
-24,31.5,-13.69999,-2.776213
-22.5,31.5,-12.67999,-0.6262134
-21,31.5,-12.02999,-0.3162134
-19.5,31.5,-12.01999,-0.5762134
-18,31.5,-11.38999,-0.5462134
-16.5,31.5,-10.65999,-0.8062134
-15,31.5,-9.359985,-0.5562134
-13.5,31.5,-7.059985,1.873787
-12,31.5,-4.589985,3.343786
-10.5,31.5,-2.799985,1.363787
-9,31.5,-1.429985,0.9537866
-7.5,31.5,-2.159985,0.4937866
-6,31.5,-3.589985,-0.3962134
-4.5,31.5,-5.259985,-1.576213
-3,31.5,-8.699986,-1.086213
-1.5,31.5,-10.57998,-2.696213
0,31.5,-11.50998,-3.866213
-60,30,0.8800147,-4.526213
-58.5,30,2.300014,-4.056213
-57,30,4.810015,-2.836213
-55.5,30,5.990015,-0.9462134
-54,30,6.440014,0.3637866
-52.5,30,5.250014,2.123787
-51,30,4.630014,4.203786
-49.5,30,4.750014,4.023787
-48,30,1.100015,3.693787
-46.5,30,-1.049985,5.873786
-45,30,-1.209985,5.603786
-43.5,30,-4.479985,4.863787
-42,30,-4.839985,5.433786
-40.5,30,-5.709985,4.263786
-39,30,-9.719985,2.963787
-37.5,30,-9.339985,1.523787
-36,30,-8.079986,1.593787
-34.5,30,-7.899985,0.9837866
-33,30,-8.539985,-0.8762134
-31.5,30,-10.83998,-1.676213
-30,30,-12.90998,-2.746213
-28.5,30,-14.78998,-2.926213
-27,30,-15.18999,-4.406213
-25.5,30,-13.92999,-5.546213
-24,30,-13.80999,-3.426213
-22.5,30,-14.18999,-2.156213
-21,30,-12.61998,-2.566213
-19.5,30,-11.14999,-3.126213
-18,30,-10.29998,-1.656213
-16.5,30,-7.979985,2.123787
-15,30,-5.449985,4.983787
-13.5,30,-5.269985,6.003787
-12,30,-6.649985,5.753787
-10.5,30,-6.779985,2.873786
-9,30,-5.979985,0.6037866
-7.5,30,-8.699986,-2.126213
-6,30,-14.28998,-3.966213
-4.5,30,-13.62998,-2.416213
-3,30,-15.16998,-2.066213
-1.5,30,-15.30999,-4.276213
0,30,-13.84999,-3.786213
-60,28.5,-0.4799853,-5.106213
-58.5,28.5,1.530015,-2.936213
-57,28.5,2.650015,-1.456213
-55.5,28.5,2.420015,-0.8062134
-54,28.5,2.310014,0.2137866
-52.5,28.5,1.700015,1.993787
-51,28.5,0.8400146,3.723787
-49.5,28.5,0.5300146,1.393787
-48,28.5,-1.639985,0.1237866
-46.5,28.5,-3.779985,2.813787
-45,28.5,-3.479985,2.923787
-43.5,28.5,-5.189985,3.433787
-42,28.5,-7.529985,4.393786
-40.5,28.5,-8.049985,3.713787
-39,28.5,-9.409986,2.093786
-37.5,28.5,-10.51999,0.8037866
-36,28.5,-11.16998,1.613787
-34.5,28.5,-12.17999,0.6137866
-33,28.5,-12.11998,-1.956213
-31.5,28.5,-11.56999,-4.766213
-30,28.5,-12.93999,-5.966213
-28.5,28.5,-13.86998,-6.126213
-27,28.5,-14.65998,-8.716213
-25.5,28.5,-15.65998,-8.466213
-24,28.5,-15.87998,-5.846213
-22.5,28.5,-15.87998,-4.306213
-21,28.5,-14.16998,-2.746213
-19.5,28.5,-12.45998,-1.656213
-18,28.5,-11.54998,1.143787
-16.5,28.5,-12.07998,5.473786
-15,28.5,-13.29998,7.483787
-13.5,28.5,-14.02999,6.263786
-12,28.5,-14.97999,4.723786
-10.5,28.5,-17.64998,2.573786
-9,28.5,-18.07998,-1.396213
-7.5,28.5,-16.25998,-2.476213
-6,28.5,-16.53999,-2.136213
-4.5,28.5,-16.36999,-2.046213
-3,28.5,-15.94998,-2.806213
-1.5,28.5,-15.18999,-3.826213
0,28.5,-14.93999,-2.656213
-60,27,-0.9599853,-3.696213
-58.5,27,-0.8099853,-2.096213
-57,27,-1.989985,-2.436213
-55.5,27,-1.709985,-1.176213
-54,27,-1.379985,1.003787
-52.5,27,-2.239985,0.9137866
-51,27,-3.539985,1.443787
-49.5,27,-4.179985,0.0738
-48,27,-2.269985,0.3637866
-46.5,27,-1.239985,2.583786
-45,27,-2.079985,3.173787
-43.5,27,-5.849985,5.063787
-42,27,-10.61999,4.593787
-40.5,27,-10.73999,2.813787
-39,27,-9.989985,1.393787
-37.5,27,-11.14999,0.3637866
-36,27,-12.29998,-0.5662134
-34.5,27,-12.91998,-2.566213
-33,27,-12.51999,-4.336213
-31.5,27,-11.79998,-7.076213
-30,27,-12.84999,-7.726213
-28.5,27,-12.64999,-7.756213
-27,27,-12.55999,-9.526213
-25.5,27,-14.06999,-9.126213
-24,27,-15.17999,-7.006213
-22.5,27,-14.72999,-4.886213
-21,27,-13.02999,-2.076213
-19.5,27,-12.47999,0.7837866
-18,27,-11.87998,3.423787
-16.5,27,-12.92999,5.403787
-15,27,-14.05999,5.713787
-13.5,27,-14.18999,5.623786
-12,27,-14.26999,4.623786
-10.5,27,-16.51999,2.063787
-9,27,-17.33998,-1.286213
-7.5,27,-15.35999,-2.126213
-6,27,-15.54998,-2.996213
-4.5,27,-15.87998,-4.006213
-3,27,-15.53998,-4.306213
-1.5,27,-14.36998,-4.106213
0,27,-13.65998,-2.296213
-60,25.5,-3.979985,-3.036213
-58.5,25.5,-4.169985,-3.946213
-57,25.5,-4.539985,-3.586213
-55.5,25.5,-4.129985,-0.8362134
-54,25.5,-4.489985,0.1037866
-52.5,25.5,-5.339985,0.4437866
-51,25.5,-5.659985,0.9237866
-49.5,25.5,-6.479985,-0.9862134
-48,25.5,-5.239985,1.123787
-46.5,25.5,-5.329985,3.703787
-45,25.5,-7.009985,2.993787
-43.5,25.5,-9.849985,2.973787
-42,25.5,-12.79998,1.993787
-40.5,25.5,-13.05999,1.243787
-39,25.5,-12.96999,0.5537866
-37.5,25.5,-12.93999,-0.1162134
-36,25.5,-13.37998,-1.156213
-34.5,25.5,-13.42999,-2.466213
-33,25.5,-13.20998,-4.166214
-31.5,25.5,-11.86998,-6.616213
-30,25.5,-10.83998,-6.366213
-28.5,25.5,-11.84999,-7.436213
-27,25.5,-12.65999,-10.80621
-25.5,25.5,-12.28998,-11.04621
-24,25.5,-13.06999,-6.416213
-22.5,25.5,-12.87998,-1.496213
-21,25.5,-10.79998,1.863787
-19.5,25.5,-9.869986,3.463787
-18,25.5,-9.019985,3.693787
-16.5,25.5,-8.499985,4.313787
-15,25.5,-8.229985,3.223787
