U,V
-8.803818,-5.432148
-8.503818,-5.632147
-8.303818,-5.932148
-8.003818,-6.132147
-7.803818,-6.332147
-7.603818,-6.532147
-7.403818,-6.732147
-7.203818,-6.932148
-7.103818,-7.232147
-6.903818,-7.432148
-6.803818,-7.632147
-6.603818,-7.832147
-6.503818,-8.032147
-6.303818,-8.132148
-6.203818,-8.332148
-6.003818,-8.332148
-5.803818,-8.432147
-5.503818,-8.432147
-5.303818,-8.432147
-5.103818,-8.232147
-4.803818,-8.232147
-4.603818,-8.032147
-4.303818,-7.932148
-4.003818,-7.732147
-3.703818,-7.532147
-3.303818,-7.332147
-3.003818,-7.132147
-2.703818,-6.932148
-2.303818,-6.832147
-2.003818,-6.632147
-1.603818,-6.532147
-1.303818,-6.332147
-0.9038178,-6.232147
-0.6038178,-6.032147
-0.3038177,-5.932148
-13.90382,-0.5321472
-13.80382,-0.7321472
-13.60382,-0.9321472
-13.40382,-0.9321472
-13.10382,-0.9321472
-12.90382,-0.9321472
-12.50382,-0.8321472
-12.10382,-0.8321472
-11.70382,-0.8321472
-11.20382,-0.8321472
-10.80382,-0.7321472
-10.40382,-0.8321472
-10.00382,-0.8321472
-9.603818,-0.8321472
-9.303818,-0.9321472
-9.003818,-1.032147
-8.703818,-1.032147
-8.503818,-1.232147
-8.203818,-1.432147
-7.803818,-1.632147
-7.603818,-1.932147
-7.303818,-2.132147
-7.103818,-2.432147
-6.903818,-2.832147
-6.703818,-3.032147
-6.603818,-3.332147
-6.403818,-3.532147
-6.303818,-3.732147
-6.203818,-3.932147
-6.003818,-4.132147
-5.903818,-4.232147
-5.703818,-4.432148
-5.503818,-4.632147
-5.403818,-4.832147
-5.203818,-5.032147
-5.103818,-5.232147
-5.003818,-5.432148
-4.803818,-5.732147
-4.803818,-6.032147
-4.703818,-6.232147
-4.703818,-6.532147
-4.603818,-6.832147
-4.503818,-7.132147
-4.403818,-7.432148
-4.203818,-7.632147
-4.103818,-7.832147
-4.003818,-8.132148
-3.803818,-8.232147
-3.703818,-8.332148
-3.503818,-8.532147
-3.403818,-8.532147
-3.203818,-8.532147
-3.003818,-8.532147
-2.803818,-8.432147
-2.603818,-8.432147
-2.303818,-8.332148
-2.103818,-8.232147
-1.803818,-8.132148
-1.503818,-8.032147
-1.203818,-7.932148
-0.9038178,-7.832147
-0.6038178,-7.732147
-0.3038177,-7.732147
9.62E-02,-7.632147
0.3961823,-7.532147
0.7961823,-7.432148
1.096182,-7.332147
1.396182,-7.132147
-10.20382,-0.6321473
-10.00382,-0.7321472
-9.703818,-0.8321472
-9.303818,-0.9321472
-9.003818,-0.9321472
-8.603818,-1.032147
-8.103818,-1.032147
-7.703818,-1.132147
-7.203818,-1.232147
-6.803818,-1.332147
-6.403818,-1.432147
-6.003818,-1.532147
-5.603818,-1.632147
-5.303818,-1.832147
-5.003818,-1.832147
-4.703818,-2.032147
-4.403818,-2.032147
-4.203818,-2.232147
-4.003818,-2.232147
-3.803818,-2.432147
-3.603818,-2.532147
-3.403818,-2.732147
-3.303818,-2.832147
-3.203818,-2.932147
-3.103818,-3.032147
-3.103818,-3.232147
-3.003818,-3.232147
-3.003818,-3.332147
-3.003818,-3.332147
-2.903818,-3.432147
-2.903818,-3.532147
-2.903818,-3.732147
-2.803818,-3.832147
-2.803818,-4.132147
-2.703818,-4.332147
-2.703818,-4.632147
-2.703818,-4.932148
-2.603818,-5.232147
-2.603818,-5.532147
-2.503818,-5.932148
-2.403818,-6.232147
-2.403818,-6.532147
-2.203818,-6.932148
-2.103818,-7.232147
-1.903818,-7.532147
-1.803818,-7.832147
-1.503818,-8.032147
-1.403818,-8.332148
-1.203818,-8.432147
-1.003818,-8.632148
-0.8038177,-8.732147
-0.6038178,-8.832148
-0.4038177,-8.832148
-0.1038178,-8.832148
9.62E-02,-8.732147
0.3961823,-8.732147
0.5961823,-8.632148
0.8961822,-8.632148
1.196182,-8.532147
1.396182,-8.532147
1.696182,-8.432147
1.896182,-8.432147
2.196182,-8.232147
2.396182,-8.232147
2.696182,-8.032147
2.896182,-7.832147
3.196182,-7.532147
3.396182,-7.132147
