X,Y
-117,63
-118.5,63
-120,63
-121.5,63
-123,63
-124.5,63
-126,63
-127.5,63
-129,63
-130.5,63
-132,63
-133.5,63
-135,63
-136.5,63
-138,63
-139.5,63
-141,63
-142.5,63
-144,63
-145.5,63
-147,63
-148.5,63
-150,63
-49.5,61.5
-51,61.5
-52.5,61.5
-54,61.5
-55.5,61.5
-57,61.5
-58.5,61.5
-60,61.5
-61.5,61.5
-63,61.5
-64.5,61.5
-66,61.5
-67.5,61.5
-69,61.5
-70.5,61.5
-72,61.5
-73.5,61.5
-75,61.5
-76.5,61.5
-78,61.5
-79.5,61.5
-81,61.5
-82.5,61.5
-84,61.5
-85.5,61.5
-87,61.5
-88.5,61.5
-90,61.5
-91.5,61.5
-93,61.5
-94.5,61.5
-96,61.5
-97.5,61.5
-99,61.5
-100.5,61.5
-102,61.5
-103.5,61.5
-105,61.5
-106.5,61.5
-108,61.5
-109.5,61.5
-111,61.5
-112.5,61.5
-114,61.5
-115.5,61.5
-117,61.5
-118.5,61.5
-120,61.5
-121.5,61.5
-123,61.5
-124.5,61.5
-126,61.5
-127.5,61.5
-129,61.5
-130.5,61.5
-132,61.5
-133.5,61.5
-135,61.5
-136.5,61.5
-138,61.5
-139.5,61.5
-141,61.5
-142.5,61.5
-144,61.5
-145.5,61.5
-147,61.5
-148.5,61.5
-150,61.5
-49.5,60
-51,60
-52.5,60
-54,60
-55.5,60
-57,60
-58.5,60
-60,60
-61.5,60
-63,60
-64.5,60
-66,60
-67.5,60
-69,60
-70.5,60
-72,60
-73.5,60
-75,60
-76.5,60
-78,60
-79.5,60
-81,60
-82.5,60
-84,60
-85.5,60
-87,60
-88.5,60
-90,60
-91.5,60
-93,60
-94.5,60
-96,60
-97.5,60
-99,60
-100.5,60
-102,60
-103.5,60
-105,60
-106.5,60
-108,60
-109.5,60
-111,60
-112.5,60
-114,60
-115.5,60
-117,60
-118.5,60
-120,60
-121.5,60
-123,60
-124.5,60
-126,60
-127.5,60
-129,60
-130.5,60
-132,60
-133.5,60
-135,60
-136.5,60
-138,60
-139.5,60
-141,60
-142.5,60
-144,60
-145.5,60
-147,60
-148.5,60
-150,60
-49.5,58.5
-51,58.5
-52.5,58.5
-54,58.5
-55.5,58.5
-57,58.5
-58.5,58.5
-60,58.5
-61.5,58.5
-63,58.5
-64.5,58.5
-66,58.5
-67.5,58.5
-69,58.5
-70.5,58.5
-72,58.5
-73.5,58.5
-75,58.5
-76.5,58.5
-78,58.5
-79.5,58.5
-81,58.5
-82.5,58.5
-84,58.5
-85.5,58.5
-87,58.5
-88.5,58.5
-90,58.5
-91.5,58.5
-93,58.5
-94.5,58.5
-96,58.5
-97.5,58.5
-99,58.5
-100.5,58.5
-102,58.5
-103.5,58.5
-105,58.5
-106.5,58.5
-108,58.5
-109.5,58.5
-111,58.5
-112.5,58.5
-114,58.5
-115.5,58.5
-117,58.5
-118.5,58.5
-120,58.5
-121.5,58.5
-123,58.5
-124.5,58.5
-126,58.5
-127.5,58.5
-129,58.5
-130.5,58.5
-132,58.5
-133.5,58.5
-135,58.5
-136.5,58.5
-138,58.5
-139.5,58.5
-141,58.5
-142.5,58.5
-144,58.5
-145.5,58.5
-147,58.5
-148.5,58.5
-150,58.5
-49.5,57
-51,57
-52.5,57
-54,57
-55.5,57
-57,57
-58.5,57
-60,57
-61.5,57
-63,57
-64.5,57
-66,57
-67.5,57
-69,57
-70.5,57
-72,57
-73.5,57
-75,57
-76.5,57
-78,57
-79.5,57
-81,57
-82.5,57
-84,57
-85.5,57
-87,57
-88.5,57
-90,57
-91.5,57
-93,57
-94.5,57
-96,57
-97.5,57
-99,57
-100.5,57
-102,57
-103.5,57
-105,57
-106.5,57
-108,57
-109.5,57
-111,57
-112.5,57
-114,57
-115.5,57
-117,57
-118.5,57
-120,57
-121.5,57
-123,57
-124.5,57
-126,57
-127.5,57
-129,57
-130.5,57
-132,57
-133.5,57
-135,57
-136.5,57
-138,57
-139.5,57
-141,57
-142.5,57
-144,57
-145.5,57
-147,57
-148.5,57
-150,57
-49.5,55.5
-51,55.5
-52.5,55.5
-54,55.5
-55.5,55.5
-57,55.5
-58.5,55.5
-60,55.5
-61.5,55.5
-63,55.5
-64.5,55.5
-66,55.5
-67.5,55.5
-69,55.5
-70.5,55.5
-72,55.5
-73.5,55.5
-75,55.5
-76.5,55.5
-78,55.5
-79.5,55.5
-81,55.5
-82.5,55.5
-84,55.5
-85.5,55.5
-87,55.5
-88.5,55.5
-90,55.5
-91.5,55.5
-93,55.5
-94.5,55.5
-96,55.5
-97.5,55.5
-99,55.5
-100.5,55.5
-102,55.5
-103.5,55.5
-105,55.5
-106.5,55.5
-108,55.5
-109.5,55.5
-111,55.5
-112.5,55.5
-114,55.5
-115.5,55.5
-117,55.5
-118.5,55.5
-120,55.5
-121.5,55.5
-123,55.5
-124.5,55.5
-126,55.5
-127.5,55.5
-129,55.5
-130.5,55.5
-132,55.5
-133.5,55.5
-135,55.5
-136.5,55.5
-138,55.5
-139.5,55.5
-141,55.5
-142.5,55.5
-144,55.5
-145.5,55.5
-147,55.5
-148.5,55.5
-150,55.5
-49.5,54
-51,54
-52.5,54
-54,54
-55.5,54
-57,54
-58.5,54
-60,54
-61.5,54
-63,54
-64.5,54
-66,54
-67.5,54
-69,54
-70.5,54
-72,54
-73.5,54
-75,54
-76.5,54
-78,54
-79.5,54
-81,54
-82.5,54
-84,54
-85.5,54
-87,54
-88.5,54
-90,54
-91.5,54
-93,54
-94.5,54
-96,54
-97.5,54
-99,54
-100.5,54
-102,54
-103.5,54
-105,54
-106.5,54
-108,54
-109.5,54
-111,54
-112.5,54
-114,54
-115.5,54
-117,54
-118.5,54
-120,54
-121.5,54
-123,54
-124.5,54
-126,54
-127.5,54
-129,54
-130.5,54
-132,54
-133.5,54
-135,54
-136.5,54
-138,54
-139.5,54
-141,54
-142.5,54
-144,54
-145.5,54
-147,54
-148.5,54
-150,54
-49.5,52.5
-51,52.5
-52.5,52.5
-54,52.5
-55.5,52.5
-57,52.5
-58.5,52.5
-60,52.5
-61.5,52.5
-63,52.5
-64.5,52.5
-66,52.5
-67.5,52.5
-69,52.5
-70.5,52.5
-72,52.5
-73.5,52.5
-75,52.5
-76.5,52.5
-78,52.5
-79.5,52.5
-81,52.5
-82.5,52.5
-84,52.5
-85.5,52.5
-87,52.5
-88.5,52.5
-90,52.5
-91.5,52.5
-93,52.5
-94.5,52.5
-96,52.5
-97.5,52.5
-99,52.5
-100.5,52.5
-102,52.5
-103.5,52.5
-105,52.5
-106.5,52.5
-108,52.5
-109.5,52.5
-111,52.5
-112.5,52.5
-114,52.5
-115.5,52.5
-117,52.5
-118.5,52.5
-120,52.5
-121.5,52.5
-123,52.5
-124.5,52.5
-126,52.5
-127.5,52.5
-129,52.5
-130.5,52.5
-132,52.5
-133.5,52.5
-135,52.5
-136.5,52.5
-138,52.5
-139.5,52.5
-141,52.5
-142.5,52.5
-144,52.5
-145.5,52.5
-147,52.5
-148.5,52.5
-150,52.5
-49.5,51
-51,51
-52.5,51
-54,51
-55.5,51
-57,51
-58.5,51
-60,51
-61.5,51
-63,51
-64.5,51
-66,51
-67.5,51
-69,51
-70.5,51
-72,51
-73.5,51
-75,51
-76.5,51
-78,51
-79.5,51
-81,51
-82.5,51
-84,51
-85.5,51
-87,51
-88.5,51
-90,51
-91.5,51
-93,51
-94.5,51
-96,51
-97.5,51
-99,51
-100.5,51
-102,51
-103.5,51
-105,51
-106.5,51
-108,51
-109.5,51
-111,51
-112.5,51
-114,51
-115.5,51
-117,51
-118.5,51
-120,51
-121.5,51
-123,51
-124.5,51
-126,51
-127.5,51
-129,51
-130.5,51
-132,51
-133.5,51
-135,51
-136.5,51
-138,51
-139.5,51
-141,51
-142.5,51
-144,51
-145.5,51
-147,51
-148.5,51
-150,51
-49.5,49.5
-51,49.5
-52.5,49.5
-54,49.5
-55.5,49.5
-57,49.5
-58.5,49.5
-60,49.5
-61.5,49.5
-63,49.5
-64.5,49.5
-66,49.5
-67.5,49.5
-69,49.5
-70.5,49.5
-72,49.5
-73.5,49.5
-75,49.5
-76.5,49.5
-78,49.5
-79.5,49.5
-81,49.5
-82.5,49.5
-84,49.5
-85.5,49.5
-87,49.5
-88.5,49.5
-90,49.5
-91.5,49.5
-93,49.5
-94.5,49.5
-96,49.5
